Course,CourseTitle,Instructor1Name,Workload,Accessibility,Delivery,Difficulty,Cnt
CBMF4761,COMPUTATIONAL GENOMICS,"PE'ER, ITSIK",3.486664833909505,3.8604138186823627,3.350098465493888,4.393109130926533,289
COMS4111,INTRODUCTION TO DATABASES,"FERGUSON, DONALD F",4.343107355154702,4.966513065612812,4.1391903809247985,4.944229255085331,430
COMS4111,INTRODUCTION TO DATABASES,"WU, EUGENE",4.902596502357502,4.888525713961714,4.177590067186266,4.282769661485524,449
COMS4111,INTRODUCTION TO DATABASES,"BILIRIS, ALEXANDROS",3.187007131654516,3.603802918481458,3.3889994700007264,4.309943787413083,495
COMS4112,DATABASE SYSTEM IMPLEMENTATION,"ROSS, KENNETH A",4.83368165601531,3.925140669448254,4.79482524542227,3.880994929942603,293
COMS4113,FUND-LARGE-SCALE DIST SYSTEMS,"GEAMBASU, ROXANA",4.69756897641253,4.363963671565261,4.082757994426975,3.714621224288975,324
COMS4115,PROGRAMMING LANG & TRANSLATORS,"GU, RONGHUI",3.480981238088813,3.061508953228609,4.723569493298669,4.285677255332571,329
COMS4118,OPERATING SYSTEMS I,"LEE, JAE W",3.188997511570089,4.051853698865047,3.9590065121096387,3.699902826297328,315
COMS4170,USER INTERFACE DESIGN,"CHILTON, LYDIA",4.926840125805564,4.313608167298085,3.985222493167278,3.158715939828856,485
COMS4172,3D UI AND AUGMENTED REALITY,"FEINER, STEVEN K",3.15439053985889,3.991454348947567,4.8185003517368905,3.6235447838746824,219
COMS4182,SECURITY II,"BELLOVIN, STEVEN M",4.786382661222774,4.0189724176814625,3.0208257883165865,4.105425003921235,462
COMS4232,Advanced Algorithms,"ANDONI, ALEXANDR",3.179086105751021,3.688364405340214,3.6233912714031624,3.727503691974432,216
COMS4236,INTRO-COMPUTATIONAL COMPLEXITY,"SERVEDIO, ROCCO",4.72228713051136,4.087026670742737,3.78991551976562,4.209256447285885,390
COMS4261,INTRO TO CRYPTOGRAPHY,"MALKIN, TAL",3.2261805073122503,4.4925226970264305,4.102129639264085,3.3022405858804085,239
COMS4701,ARTIFICIAL INTELLIGENCE,"DEAR, TONY B",4.80660357833868,4.845569354374187,3.1914381360258215,3.6678659282873642,298
COMS4705,NATURAL LANGUAGE PROCESSING,"YU, ZHOU",4.695499839250843,4.083795158717021,4.498095203006104,3.6104251882428184,451
COMS4705,NATURAL LANGUAGE PROCESSING,"BENAJIBA, YASSINE",3.563556836168922,3.325182043962228,4.846821980059211,3.7062994987970233,234
COMS4721,MACHINE LEARNING FOR DATA SCI,"HSU, DANIEL",4.429609811865483,4.997515235550241,3.5271041775940337,4.330824354227052,264
COMS4732,Computer Vision II: Learning,"VONDRICK, CARL",4.436651876210091,3.277727752020912,4.560825796808154,4.6343595782588265,226
COMS4733,COMPUTATNL ASPECTS OF ROBOTICS,"SONG, SHURAN",4.412475787151264,3.535057985085176,3.7310995719760003,3.7287193169599515,316
COMS4762,Machine Learning for Functional Genomics,"KNOWLES, DAVID A",4.756653498607824,4.086801334862062,3.7594040220765486,3.886766039966075,374
COMS4771,MACHINE LEARNING,"VERMA, NAKUL",4.2468699801323515,4.717086421319022,4.606080556033282,4.2728146771750275,330
COMS4995,TOPICS IN COMPUTER SCIENCE,"BAUER, DANIEL",3.1662023151577685,4.581647709427215,3.805204983887773,4.782791328782812,383
COMS4995,TOPICS IN COMPUTER SCIENCE,"PE'ER, ITSIK",3.8257420285443,4.005394810725669,4.843320853139135,4.869896848072253,476
COMS4995,TOPICS IN COMPUTER SCIENCE,"BAREINBOIM, ELIAS",4.935646361204915,4.280009300980463,3.25864381765373,4.105675253053638,320
COMS4995,TOPICS IN COMPUTER SCIENCE,"BLUMBERG, ANDREW J",3.028322243601063,3.67165348050196,4.450207979580705,3.073842043261504,305
COMS4995,TOPICS IN COMPUTER SCIENCE,"STROUSTRUP, BJARNE",4.65503480979292,4.641454910745468,3.4543503520267422,3.0298479938331964,311
COMS4995,TOPICS IN COMPUTER SCIENCE,"CHAINTREAU, AUGUSTIN",3.745452881801212,3.4096355136889764,4.3138482841226615,4.112246745968444,291
COMS4995,TOPICS IN COMPUTER SCIENCE,"MORRISON, JOHN R",3.080878991927582,3.8314366944962654,4.819412638357847,4.912925378661219,307
COMS4995,TOPICS IN COMPUTER SCIENCE,"PAPADIMITRIOU, CHRISTOS H",4.031557047371328,3.9173688280095806,4.95774263640709,3.153315397521629,461
COMS4995,TOPICS IN COMPUTER SCIENCE,"SWINEHART, CHRISTIAN",4.374145319125082,4.173723714263018,3.527139243665422,4.063999023279848,300
COMS4995,TOPICS IN COMPUTER SCIENCE,"DRORI, IDDO",3.0536859882361886,3.749622086138653,3.4305690691762205,4.439847585209848,439
COMS4995,TOPICS IN COMPUTER SCIENCE,"LEVINE, MICHELLE F",4.050687077898093,3.910182328849337,3.922988226437875,3.9797985087781833,278
COMS4995,TOPICS IN COMPUTER SCIENCE,"LIM, YONGWHAN",4.100336881204358,4.234762967179897,3.657621748756412,4.914244796189376,317
COMS4995,TOPICS IN COMPUTER SCIENCE,"PAPPU, VIJAY",4.11505558911214,3.081816168980027,4.5226439150748226,4.745098406774318,433
COMS6111,ADVANCED DATABASE SYSTEMS,"GRAVANO, LUIS",4.3103670084743175,4.01775802331687,4.233022118910639,3.331550692593077,266
COMS6156,TOPICS IN SOFTWARE ENGINEERING,"KAISER, GAIL E",4.165015280540075,4.417092190544706,3.2656212827702116,4.670567448959665,339
COMS6178,Human-Computer Interaction,"SMITH, BRIAN A",3.657139676389333,3.398954083125023,4.839983392082195,4.544536622247829,220
COMS6424,HARDWARE SECURITY,"SETHUMADHAVAN, SIMHA",3.1311879232055304,4.684395643767695,4.68687702094527,3.6152432720922603,479
COMS6998,TOPICS IN COMPUTER SCIENCE,"SAHU, SAMBIT",3.351049836089453,4.393867463852112,3.5649342985225916,3.257141251764712,218
COMS6998,TOPICS IN COMPUTER SCIENCE,"HIRSCHBERG, JULIA",4.138924130415933,4.541255498617539,4.003540109941356,3.2090941265224187,499
COMS6998,TOPICS IN COMPUTER SCIENCE,"RAY, BAISHAKHI",3.9800633069332108,4.278027916697052,4.174197773438271,4.718198041293062,329
COMS6998,TOPICS IN COMPUTER SCIENCE,"BEIGI, HOMAYOON S",3.427812303376548,3.8490767675892457,3.2903934015843306,4.0932570042165555,448
COMS6998,TOPICS IN COMPUTER SCIENCE,"PITASSI, TONIANN",4.581603143475074,4.764795803529452,3.512553988504592,4.683480714085292,313
COMS6998,TOPICS IN COMPUTER SCIENCE,"ZEMEL, RICHARD",3.96754766145036,4.165072910014846,4.124893781166637,3.0642426013461104,421
COMS6998,TOPICS IN COMPUTER SCIENCE,"YUEN, HENRY",4.462617148846707,4.240271461666272,3.3062478548059753,4.358920303873247,387
COMS6998,TOPICS IN COMPUTER SCIENCE,"BELHUMEUR, PETER",3.5765271420111056,3.590764141918503,3.8412651964797737,4.799937324808063,331
COMS6998,TOPICS IN COMPUTER SCIENCE,"DUBE, PARIJAT",3.593822197793589,4.133120672564704,4.8805277644249925,4.896975697177892,416
COMS6998,TOPICS IN COMPUTER SCIENCE,"KUCUKELBIR, ALP",3.241781411291811,3.537502373294734,3.3241990069849354,4.678876413331527,236
COMS6998,TOPICS IN COMPUTER SCIENCE,"HALL-KRISHNAMURTHY, AKSHAY",3.5302355125215494,4.098080431448315,3.4135844827930653,4.574287556088424,382
COMS6998,TOPICS IN COMPUTER SCIENCE,"HORESH, LIOR",4.988043382974467,4.522679950954991,3.666346973705916,4.952013955057181,458
CSEE4119,COMPUTER NETWORKS,"ZUSSMAN, GIL",3.5214632804039914,3.6353854594590493,4.815183583250494,4.654709027201276,281
CSEE4119,COMPUTER NETWORKS,"SCHULZRINNE, HENNING G",3.317640179126776,3.1443174160565026,3.164093608543821,4.452144992065811,201
CSEE4121,COMPUTER SYSTEMS FOR DATA SCIENCE,"SAHU, SAMBIT",3.4712784098192473,3.100182660856378,4.0825210800173855,4.060882824267024,351
CSEE4121,COMPUTER SYSTEMS FOR DATA SCIENCE,"CIDON, ASAF",3.843253590144028,3.835833925384957,3.224935796120164,4.873526404713184,480
CSEE4840,EMBEDDED SYSTEMS,"EDWARDS, STEPHEN A",3.345331361319153,4.060050358444398,4.036771241706165,4.748122701574272,479
CSEE6180,MODELING & PERFORMANCE EVALUATION,"MISRA, VISHAL",3.5506518262893514,3.3167033472516536,4.407719088693093,4.702129179530376,393
CSEE6868,EMBEDDED SCALABLE PLATFORMS,"CARLONI, LUCA",4.723890281025471,3.4015291977351594,4.589139013626565,4.531722926640091,225
CSOR4231,ANALYSIS OF ALGORITHMS I,"DRINEA, ELENI",3.3732073140311303,3.1949909675083603,4.988929665659995,3.2560720252164375,339
CSOR4231,ANALYSIS OF ALGORITHMS I,"CHEN, XI",4.228729359526793,3.934365549613087,3.8422217787892547,4.84307011099475,486
ECBM4070,Computing with Brain Circuits of Model O,"LAZAR, AUREL A",4.362024303014988,4.264358860180908,3.8079404763984384,4.636629476732569,329
EECS6321,ADV DIGITAL ELECTRONIC CIRCUIT,"SEOK, MINGOO",3.7618514496722826,4.168717145859267,3.4067892680450216,4.056601304929298,275
EECS6691,TOPICS DATA-DRIVEN ANAL & COMP,"KOSTIC, ZORAN",3.313007210786145,4.390142618989386,3.476424250822771,3.8218259433010697,257
EECS6692,TOPICS DATA-DRIVEN ANAL & COMP,"KOSTIC, ZORAN",3.764802097753277,4.450123463797949,3.1718276407223716,4.8823853198114895,402
EECS6699,TOPICS DATA-DRIVEN ANAL & COMP,"JELENKOVIC, PREDRAG R",4.819860204651066,4.833603040349336,4.129140573738506,3.413374611267729,389
EECS6892,TOPICS-INFORMATION PROCESSING,"GHADERI, JAVAD",3.2776029057352982,4.840170642977423,3.0128055552148885,4.577090754858859,223
EECS6895,TOPICS-INFORMATION PROCESSING,"LIN, CHING-YUNG",3.488919335192967,4.273679919646988,3.8972574304478824,4.02293788280803,402
EECS9601,Seminar in Data-Driven Analysis and Comp,"PAISLEY, JOHN W",3.937068856888668,4.857130280173586,4.388339159737903,3.1147701588911074,227
EEME6602,MODERN CONTROL THEORY,"ANDERSON, JAMES",4.011223206371229,4.173217668356633,3.5139516226806573,3.4870932540833337,202
ELEN4314,COMMUNICATION CIRCUITS,"VALLANCOURT, DAVID G",3.5277144387431116,4.154674462992016,4.888544641411036,4.746562376856645,249
ELEN4702,DIGITAL COMMUNICATIONS,"ASHIKHMIN, ALEXEI",4.842607326662062,4.195339159714545,4.727223158977901,4.840484214682677,371
ELEN4815,RANDOM SIGNALS & NOISE,"KALET, IRVING",3.3306565344400614,3.2500234163203965,4.896591218356848,4.94156837116641,416
ELEN4830,DIGITAL IMAGE PROCESSING,"HENDON, CHRISTINE P",4.283023262339443,3.4298007483042676,3.0796411529394585,3.0657082039444674,263
ELEN4902,TOPICS IN EE & CE,"OMIDIORA, MICHAEL",3.9059967497123385,4.446333818332225,3.9257398853077543,4.95548317173953,320
ELEN6312,ADV ANALOG INTEGRATED CIRCUITS,"KRISHNASWAMY, HARISH",3.1610871933081315,3.1735131748540257,3.869680311811501,4.036518832529854,461
ELEN6316,Analog-Digital Interfaces in VLSI,"DICKSON, TIMOTHY",4.7372475704863515,4.03348646092833,3.8646710920185905,4.35574036020964,487
ELEN6318,MICROWAVE CIRCUIT DESIGN,"BAEYENS, YVES",3.417826930152267,4.017662071079526,3.7338745295532583,4.9428909518550785,429
ELEN6331,PRINCPLS SEMICONDUCTR PHYSCS I,"WANG, WEN I",3.4124785441704537,3.4228664738177823,3.3060197455223683,3.3365368458024935,420
ELEN6350,VLSI DESIGN LABORATORY,"KINGET, PETER",4.565267548402482,4.535130561946891,3.6393774896462987,3.6551062839290354,418
ELEN6412,LIGHTWAVE DEVICES,"MENG, XIANG",3.7022883692936954,4.175952016920039,4.843540079255524,3.650564892955325,393
ELEN6414,PHOTONIC INTEGRATED CIRCUITS,"LIPSON, MICHAL",3.7939961547693413,3.4519740141618263,4.58685880378429,4.428277250231812,493
ELEN6767,"INTERNET ECON, ENG & SOCIETY","MITRA, DEBASIS",4.88536519364397,3.308651262922542,3.7141386845801927,4.4758336976502076,226
ELEN6771,TOPICS IN NETWORKING,"CALIN, DORU",3.4235559998333107,4.998830946626781,4.095796718467687,3.646184568903032,208
ELEN6876,Sparse and Low-Dimensional Models for Hi,"WRIGHT, JOHN",4.48045149248693,4.093998150594452,4.733207615927763,3.611682250472061,373
ELEN6883,TOPICS IN SIGNAL PROCESSING,"LI, CHONG",3.382680419347805,3.0020143183622423,3.9397211660182387,3.1180934679623764,306
ELEN6889,TOPICS IN SIGNAL PROCESSING,"TURAGA, DEEPAK S",3.223420052978083,3.8857546723554233,4.9926571151473516,3.1128674620848873,394
ELEN6901,TPCS-ELEC & COMPUT ENGINEERING,"SURESH, SINDHU",3.5322714264352797,4.8089458642142695,3.7814722125177225,4.442732514945071,500
ELEN6904,TPCS-ELEC & COMPUT ENGINEERING,"HAQUE, TANBIR",3.8078464046506855,3.510884049071965,3.3895760705424496,3.3323417533842106,325
ELEN6908,TOPICS IN ELECTRICAL AND COMPUTER ENGINE,"JIANG, XIAOFAN",3.8531624131041555,3.909490831903061,4.9758625053928105,4.618986492368724,339
ELEN6909,TPCS-ELECTRICAL & COMPUTER ENGINEERING,"PREINDL, MATTHIAS",3.607670183778328,3.1011414755508637,4.259187034379275,3.1344930645437765,447
ELEN6945,DEVICE NANOFABRICATION,"KHODAGHOLY ARAGHY, DION",4.882865644969145,3.5773320573830674,3.7572475231492453,4.3515749435216815,347
COMS4705,NATURAL LANGUAGE PROCESSING,"BAUER, DANIEL",4.571000380361151,4.362392813329012,3.7394532699234473,4.0651917810379405,473
