Course,CourseTitle,CourseSubtitle,CallNumber,Term,Instructor1Name,NumFixedUnits,Time,Location,Tag
CBMF4761W001,COMPUTATIONAL GENOMICS,COMPUTATIONAL GENOMICS,12444,20221,"PE'ER, ITSIK",3,13@14401555,253 Eng Terrace ,Systems Biology
COMS4111WH01,INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,20427,20221,Donald F Ferguson,3,5@10101240,Hybrid,data
COMS4111W001,INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,12428,20221,Donald F Ferguson,3,5@10101240,501 Schermerhorn Hall [SCH],data
COMS4111W002,INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,13911,20221,"WU, EUGENE",3,5@13101540  ,417 International Affairs: Building ,data
COMS4111W003,INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,15287,20221,"BILIRIS, ALEXANDROS",3,4@16101841,402 Chandler ,data
COMS4112W001,DATABASE SYSTEM IMPLEMENTATION,DATABASE SYSTEM IMPLEMENT,12429,20221,"ROSS, KENNETH A",3,13@13101425,451 Computer Science Building,data
COMS4113WH01,FUND-LARGE-SCALE DIST SYSTEMS,FUND-LARGE-SCALE DIST SYS,17356,20221,"GEAMBASU, ROXANA",3,5@10101240,Hybrid,computer systems
COMS4113W001,FUND-LARGE-SCALE DIST SYSTEMS,FUND-LARGE-SCALE DIST SYS,12470,20221,"GEAMBASU, ROXANA",3,5@10101241,451 Computer Science Building,computer systems
COMS4115W001,PROGRAMMING LANG & TRANSLATORS,PROGRAMMING LANG & TRANSL,12430,20221,"GU, RONGHUI",3,13@17401855 ,501 Schermerhorn Hall [SCH],computer engineering
COMS4118W001,OPERATING SYSTEMS I,OPERATING SYSTEMS I,12431,20221,"LEE, JAE W",3,3@16101840 ,501 Northwest Corner Building,computer systems
COMS4170WH01,USER INTERFACE DESIGN,USER INTERFACE DESIGN,18592,20221,"CHILTON, LYDIA",3,13@16101725 ,Hybrid,computer engineering
COMS4170W001,USER INTERFACE DESIGN,USER INTERFACE DESIGN,12432,20221,"CHILTON, LYDIA",3,13@16101726,418 International Affairs: Building,computer engineering
COMS4172W001,3D UI AND AUGMENTED REALITY,3D UI AND AUGMENTED REALI,12433,20221,"FEINER, STEVEN K",3,24@13101425 ,644 Seeley W. Mudd Building,computer engineering
COMS4182W001,SECURITY II,SECURITY II,12434,20221,"BELLOVIN, STEVEN M",3,24@13101425,833 Seeley W. Mudd Building,computer engineering
COMS4232W001,Advanced Algorithms,Advanced Algorithms,12436,20221,"ANDONI, ALEXANDR",3,24@16101725 ,451 Computer Science Building,computer engineering
COMS4236W001,INTRO-COMPUTATIONAL COMPLEXITY,INTRO-COMPUTATIONAL COMPL,12437,20221,"SERVEDIO, ROCCO",3,24@08400955 ,1127 Seeley W. Mudd Building,computer engineering
COMS4261W001,INTRO TO CRYPTOGRAPHY,INTRO TO CRYPTOGRAPHY,12438,20221,"MALKIN, TAL",3,24@10101125 ,633 Seeley W. Mudd Building,computer engineering
COMS4261W002,INTRO TO CRYPTOGRAPHY,INTRO TO CRYPTOGRAPHY,20071,20221,"MALKIN, TAL",3,24@08400955 ,633 Seeley W. Mudd Building,computer engineering
COMS4701WH02,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE,17290,20221,"DEAR, TONY B",3,13@14401555,Hybrid,computer engineering
COMS4701W002,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE,12440,20221,"DEAR, TONY B",3,13@14401556,418 International Affairs: Building,computer engineering
COMS4701W003,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE,18093,20221,"DEAR, TONY B",3,13@17401855 ,451 Computer Science Building,computer engineering
COMS4705W001,NATURAL LANGUAGE PROCESSING,NATURAL LANGUAGE PROCESSI,12441,20221,"YU, ZHOU",3,13@16101725 ,207 Mathematics Building,computer engineering
3@19002130 ,NATURAL LANGUAGE PROCESSING,NATURAL LANGUAGE PROCESSI,17846,20221,"BENAJIBA, YASSINE",3,3@19002130,501 Schermerhorn Hall [SCH],computer engineering
COMS4721W001,MACHINE LEARNING FOR DATA SCI,MACHINE LEARNING FOR DATA,17136,20221,"HSU, DANIEL",3,24@13101425  ,301 Uris Hall,ds
COMS4732WH01,Computer Vision II: Learning,Computer Vision II: Learn,18457,20221,"VONDRICK, CARL",3,5@10101240 ,Hybrid,computer engineering
COMS4732W001,Computer Vision II: Learning,Computer Vision II: Learn,12442,20221,"VONDRICK, CARL",3,5@10101241,418 International Affairs: Building,computer engineering
COMS4733W001,COMPUTATNL ASPECTS OF ROBOTICS,COMPUTATNL ASPECTS OF ROB,12443,20221,"SONG, SHURAN",3,5@10101240,312 Mathematics Building,computer engineering
